Match Number,Round Number,Date,Location,Home Team,Away Team,Result
284,32,04/05/2024 09:00,Stade Saint-Symphorien,FC Metz,Stade Rennais FC,
285,32,04/05/2024 09:00,Stade Louis II,AS Monaco,Clermont Foot 63,
286,32,04/05/2024 09:00,Stade de Nice,OGC Nice,Paris Saint-Germain,
287,32,04/05/2024 09:00,Stade Auguste Delaune,Stade de Reims,Olympique de Marseille,
288,32,04/05/2024 09:00,Stadium de Toulouse,Toulouse FC,Montpellier Hérault SC,
289,33,11/05/2024 15:00,Stade Francis-Le Blé,Stade Brestois 29,Stade de Reims,
290,33,11/05/2024 15:00,Stade Gabriel Montpied,Clermont Foot 63,Olympique Lyonnais,
291,33,11/05/2024 15:00,Stade Vélodrome,Olympique de Marseille,FC Lorient,
292,33,11/05/2024 15:00,Stade de la Mosson,Montpellier Hérault SC,AS Monaco,
293,33,11/05/2024 15:00,Stade de la Beaujoire,FC Nantes,LOSC Lille,
294,33,11/05/2024 15:00,Stade de Nice,OGC Nice,Havre AC,
295,33,11/05/2024 15:00,Parc des Princes,Paris Saint-Germain,Toulouse FC,
296,33,11/05/2024 15:00,Roazhon Park,Stade Rennais FC,RC Lens,
297,33,11/05/2024 15:00,Stade de la Meinau,RC Strasbourg Alsace,FC Metz,
298,34,18/05/2024 15:00,Stade Océane,Havre AC,Olympique de Marseille,
299,34,18/05/2024 15:00,Stade Bollaert-Delelis,RC Lens,Montpellier Hérault SC,
300,34,18/05/2024 15:00,Stade Pierre-Mauroy,LOSC Lille,OGC Nice,
301,34,18/05/2024 15:00,Stade du Moustoir,FC Lorient,Clermont Foot 63,
